Name,sample_label,site,transect,tree_number,horizon
TCTN_CMPS_KFP_0001,COMPASS_Dec2021_001,PR,UPLAND,1,A
TCTN_CMPS_KFP_0002,COMPASS_Dec2021_002,PR,UPLAND,2,A
TCTN_CMPS_KFP_0003,COMPASS_Dec2021_003,PR,UPLAND,3,A
TCTN_CMPS_KFP_0004,COMPASS_Dec2021_004,PR,UPLAND,4,A
TCTN_CMPS_KFP_0005,COMPASS_Dec2021_005,PR,UPLAND,5,A
TCTN_CMPS_KFP_0006,COMPASS_Dec2021_006,PR,UPLAND,6,A
TCTN_CMPS_KFP_0007,COMPASS_Dec2021_007,PR,UPLAND,7,A
TCTN_CMPS_KFP_0008,COMPASS_Dec2021_008,PR,UPLAND,8,A
TCTN_CMPS_KFP_0009,COMPASS_Dec2021_009,PR,UPLAND,9,A
TCTN_CMPS_KFP_0010,COMPASS_Dec2021_010,PR,transition,11,A
TCTN_CMPS_KFP_0011,COMPASS_Dec2021_011,PR,transition,12,A
TCTN_CMPS_KFP_0012,COMPASS_Dec2021_012,PR,transition,13,A
TCTN_CMPS_KFP_0013,COMPASS_Dec2021_013,PR,transition,14,A
TCTN_CMPS_KFP_0014,COMPASS_Dec2021_014,PR,transition,16,A
TCTN_CMPS_KFP_0015,COMPASS_Dec2021_015,PR,transition,17,A
TCTN_CMPS_KFP_0016,COMPASS_Dec2021_016,PR,transition,19,A
TCTN_CMPS_KFP_0017,COMPASS_Dec2021_017,PR,transition,20,A
TCTN_CMPS_KFP_0018,COMPASS_Dec2021_018,PR,transition,21,A
TCTN_CMPS_KFP_0019,COMPASS_Dec2021_019,PR,WC,L1,A
TCTN_CMPS_KFP_0020,COMPASS_Dec2021_020,PR,WC,L2,A
TCTN_CMPS_KFP_0021,COMPASS_Dec2021_021,PR,WC,L3,A
TCTN_CMPS_KFP_0022,COMPASS_Dec2021_022,PR,WC,L4,A
TCTN_CMPS_KFP_0023,COMPASS_Dec2021_023,PR,WC,L5,A
TCTN_CMPS_KFP_0024,COMPASS_Dec2021_024,PR,WC,L6,A
TCTN_CMPS_KFP_0025,COMPASS_Dec2021_025,PR,WC,L7,A
TCTN_CMPS_KFP_0026,COMPASS_Dec2021_026,PR,WC,L8,A
TCTN_CMPS_KFP_0027,COMPASS_Dec2021_027,PR,WC,L9,A
TCTN_CMPS_KFP_0028,COMPASS_Dec2021_028,PR,WC,C1,A
TCTN_CMPS_KFP_0029,COMPASS_Dec2021_029,PR,WC,C2,A
TCTN_CMPS_KFP_0030,COMPASS_Dec2021_030,PR,WC,C3,A
TCTN_CMPS_KFP_0031,COMPASS_Dec2021_031,PR,WC,Ph1,A
TCTN_CMPS_KFP_0032,COMPASS_Dec2021_032,PR,WC,Ph2,A
TCTN_CMPS_KFP_0033,COMPASS_Dec2021_033,PR,WC,Ph3,A
TCTN_CMPS_KFP_0034,COMPASS_Dec2021_034,CC,UPLAND,201,A
TCTN_CMPS_KFP_0035,COMPASS_Dec2021_035,CC,UPLAND,202,A
TCTN_CMPS_KFP_0036,COMPASS_Dec2021_036,CC,UPLAND,203,A
TCTN_CMPS_KFP_0037,COMPASS_Dec2021_037,CC,UPLAND,204,A
