"sample_label","gwc_perc"
"COMPASS_Dec2021_034",56.27
"COMPASS_Dec2021_035",68.11
"COMPASS_Dec2021_036",60.63
"COMPASS_Dec2021_037",67.3
"COMPASS_Dec2021_038",66.19
"COMPASS_Dec2021_039",89.07
"COMPASS_Dec2021_040",84.32
"COMPASS_Dec2021_041",64.69
"COMPASS_Dec2021_042",76.72
"COMPASS_Dec2021_043",126.97
"COMPASS_Dec2021_044",187.12
"COMPASS_Dec2021_045",241.33
"COMPASS_Dec2021_046",203.66
"COMPASS_Dec2021_047",218.29
"COMPASS_Dec2021_048",175.94
"COMPASS_Dec2021_049",169.27
"COMPASS_Dec2021_050",239.46
"COMPASS_Dec2021_051",127.91
"COMPASS_Dec2021_052",296.61
"COMPASS_Dec2021_053",389.9
"COMPASS_Dec2021_054",251.48
"COMPASS_Dec2021_055",209.8
"COMPASS_Dec2021_056",135.96
"COMPASS_Dec2021_057",167.16
"COMPASS_Dec2021_058",189.6
"COMPASS_Dec2021_059",166.14
"COMPASS_Dec2021_060",223.35
"COMPASS_Dec2021_061",51.62
"COMPASS_Dec2021_062",51.96
"COMPASS_Dec2021_063",51.67
"COMPASS_Dec2021_064",41.5
"COMPASS_Dec2021_065",53.73
"COMPASS_Dec2021_066",38.8
"COMPASS_Dec2021_067",53.59
"COMPASS_Dec2021_068",67.74
"COMPASS_Dec2021_069",50.15
"COMPASS_Dec2021_107",18.78
"COMPASS_Dec2021_108",16.44
"COMPASS_Dec2021_109",16.96
"COMPASS_Dec2021_110",18.37
"COMPASS_Dec2021_111",18.57
"COMPASS_Dec2021_001",61.74
"COMPASS_Dec2021_002",58.43
"COMPASS_Dec2021_003",55.29
"COMPASS_Dec2021_004",49.08
"COMPASS_Dec2021_005",54.78
"COMPASS_Dec2021_006",53.85
"COMPASS_Dec2021_007",62.62
"COMPASS_Dec2021_008",53.04
"COMPASS_Dec2021_009",57.32
"COMPASS_Dec2021_096",20.45
"COMPASS_Dec2021_097",20.22
"COMPASS_Dec2021_098",20.67
"COMPASS_Dec2021_099",17.34
"COMPASS_Dec2021_100",21.12
"COMPASS_Dec2021_101",16.86
"COMPASS_Dec2021_102",20.72
"COMPASS_Dec2021_103",18.91
"COMPASS_Dec2021_019",279.85
"COMPASS_Dec2021_020",324.82
"COMPASS_Dec2021_021",251.37
"COMPASS_Dec2021_022",339.34
"COMPASS_Dec2021_023",189.47
"COMPASS_Dec2021_024",270.7
"COMPASS_Dec2021_025",365.79
"COMPASS_Dec2021_026",256.96
"COMPASS_Dec2021_027",271.43
"COMPASS_Dec2021_070",79.93
"COMPASS_Dec2021_071",61.89
"COMPASS_Dec2021_072",90.71
"COMPASS_Dec2021_073",69.72
"COMPASS_Dec2021_074",100.33
"COMPASS_Dec2021_075",80.13
"COMPASS_Dec2021_076",81.61
"COMPASS_Dec2021_077",76.47
"COMPASS_Dec2021_078",109.2
"COMPASS_Dec2021_112",31.93
"COMPASS_Dec2021_113",19.23
"COMPASS_Dec2021_114",38.52
"COMPASS_Dec2021_115",35.01
"COMPASS_Dec2021_116",35.09
"COMPASS_Dec2021_117",40.87
"COMPASS_Dec2021_118",32.67
"COMPASS_Dec2021_119",26.75
"COMPASS_Dec2021_120",34.96
"COMPASS_Dec2021_079",122.4
"COMPASS_Dec2021_080",93.75
"COMPASS_Dec2021_081",111.19
"COMPASS_Dec2021_082",101.81
"COMPASS_Dec2021_083",82.47
"COMPASS_Dec2021_084",122.35
"COMPASS_Dec2021_085",158.74
"COMPASS_Dec2021_086",116.67
"COMPASS_Dec2021_087",142.15
"COMPASS_Dec2021_088",116.4
"COMPASS_Dec2021_089",177.16
"COMPASS_Dec2021_090",132.62
"COMPASS_Dec2021_091",176.76
"COMPASS_Dec2021_092",124.55
"COMPASS_Dec2021_093",170.1
"COMPASS_Dec2021_094",149.38
"COMPASS_Dec2021_095",122.58
"COMPASS_Dec2021_031",140.09
"COMPASS_Dec2021_032",204.42
"COMPASS_Dec2021_033",119.2
"COMPASS_Dec2021_028",206.74
"COMPASS_Dec2021_029",185.26
"COMPASS_Dec2021_030",194.22
"COMPASS_Dec2021_010",143.84
"COMPASS_Dec2021_011",99.31
"COMPASS_Dec2021_012",100
"COMPASS_Dec2021_013",102.14
"COMPASS_Dec2021_014",61.81
"COMPASS_Dec2021_015",44.24
"COMPASS_Dec2021_016",213.1
"COMPASS_Dec2021_017",100
"COMPASS_Dec2021_018",87.81
"COMPASS_Dec2021_104",
"COMPASS_Dec2021_105",
"COMPASS_May22_129",227
"COMPASS_May22_130",276.77
"COMPASS_May22_131",334.48
"COMPASS_May22_132",345.36
"COMPASS_May22_133",351.19
"COMPASS_May22_134",332.95
"COMPASS_May22_135",264.15
"COMPASS_May22_136",265.56
"COMPASS_May22_137",646.3
"COMPASS_May22_138",520.97
"COMPASS_May22_139",477.78
"COMPASS_May22_140",494.12
"COMPASS_May22_141",352.08
"COMPASS_May22_142",386.14
"COMPASS_May22_143",467.11
"COMPASS_May22_144",506.33
"COMPASS_May22_145",853.85
"COMPASS_May22_146",834.55
"COMPASS_May22_147",822.95
"COMPASS_May22_148",934.69
"COMPASS_May22_149",774.6
"COMPASS_May22_150",837.04
"COMPASS_May22_151",831.03
"COMPASS_May22_152",881.13
"COMPASS_May22_153",948
"COMPASS_May22_154",62.29
"COMPASS_May22_155",63.06
"COMPASS_May22_156",45.61
"COMPASS_May22_157",38.27
"COMPASS_May22_158",38.37
"COMPASS_May22_159",53.93
"COMPASS_May22_160",65.04
"COMPASS_May22_161",60.28
"COMPASS_May22_162",42.74
"COMPASS_May22_163",44.93
"COMPASS_May22_164",53.91
"COMPASS_May22_165",29.49
"COMPASS_May22_166",26.85
"COMPASS_May22_167",32.46
"COMPASS_May22_168",40.55
"COMPASS_May22_169",28.87
"COMPASS_May22_170",38.31
"COMPASS_May22_171",31.44
"COMPASS_May22_172",302.22
"COMPASS_May22_173",132.7
"COMPASS_May22_174",148.68
"COMPASS_May22_213_extra",114.29
"COMPASS_May22_175",161.22
"COMPASS_May22_176",146.15
"COMPASS_May22_177",232.38
"COMPASS_May22_178",253.27
"COMPASS_May22_179",136.96
"COMPASS_May22_180",447.73
"COMPASS_May22_181",495.95
"COMPASS_May22_182",521.79
"COMPASS_May22_183",449.28
"COMPASS_May22_184",519.75
"COMPASS_May22_185",458.11
"COMPASS_May22_186",528.85
"COMPASS_May22_187",505.33
"COMPASS_May22_188",518.29
"COMPASS_May22_189",345.22
"COMPASS_May22_190",417.53
"COMPASS_May22_191",202.29
"COMPASS_May22_192",301.65
"COMPASS_May22_193",70.49
"COMPASS_May22_194",125.99
"COMPASS_May22_195",267.15
"COMPASS_May22_196",61.45
"COMPASS_May22_197",33.45
"COMPASS_May22_198",41.95
"COMPASS_May22_199",26.44
"COMPASS_May22_200",33.11
"COMPASS_May22_201",66.23
"COMPASS_May22_202",35.07
"COMPASS_May22_203",53.92
"COMPASS_May22_204",83.9
"COMPASS_May22_205",
"COMPASS_May22_206",41.5
"COMPASS_May22_207",36.97
"COMPASS_May22_208",64.35
"COMPASS_May22_209",40.82
"COMPASS_May22_210",49.59
"COMPASS_May22_211",42.61
"COMPASS_May22_212",42.24
"COMPASS_May22_214",25.87
