"sample_label","pH","specific_conductance_ms_cm"
"COMPASS_Dec2021_001",5.5,0.17
"COMPASS_Dec2021_002",5.9,0.1
"COMPASS_Dec2021_003",5.9,0.09
"COMPASS_Dec2021_004",6.6,0.08
"COMPASS_Dec2021_005",6.5,0.09
"COMPASS_Dec2021_006",6.2,0.11
"COMPASS_Dec2021_007",5.4,0.14
"COMPASS_Dec2021_008",6.4,0.13
"COMPASS_Dec2021_009",5.7,0.13
"COMPASS_Dec2021_010",6.4,0.15
"COMPASS_Dec2021_011",6.7,0.13
"COMPASS_Dec2021_012",6.7,0.09
"COMPASS_Dec2021_013",6.4,0.13
"COMPASS_Dec2021_014",6.2,0.08
"COMPASS_Dec2021_015",5.6,0.07
"COMPASS_Dec2021_016",4.2,0.89
"COMPASS_Dec2021_017",5.9,0.15
"COMPASS_Dec2021_018",6.2,0.13
"COMPASS_Dec2021_019",7.2,0.32
"COMPASS_Dec2021_020",7.1,0.32
"COMPASS_Dec2021_021",6.8,0.16
"COMPASS_Dec2021_022",7.2,0.2
"COMPASS_Dec2021_023",5.8,0.33
"COMPASS_Dec2021_024",6.5,0.22
"COMPASS_Dec2021_025",6.5,0.35
"COMPASS_Dec2021_026",6.2,0.41
"COMPASS_Dec2021_027",6.4,0.55
"COMPASS_Dec2021_028",6.1,0.64
"COMPASS_Dec2021_029",5.5,0.47
"COMPASS_Dec2021_030",5.6,0.64
"COMPASS_Dec2021_031",6.9,0.16
"COMPASS_Dec2021_032",7.3,0.28
"COMPASS_Dec2021_033",7.4,0.09
"COMPASS_Dec2021_034",6.9,0.12
"COMPASS_Dec2021_035",6.8,0.11
"COMPASS_Dec2021_036",6.9,0.09
"COMPASS_Dec2021_037",6.6,0.12
"COMPASS_Dec2021_038",6.7,0.11
"COMPASS_Dec2021_039",6.9,0.14
"COMPASS_Dec2021_040",6.5,0.1
"COMPASS_Dec2021_041",6.5,0.1
"COMPASS_Dec2021_042",6.6,0.12
"COMPASS_Dec2021_043",6.6,0.14
"COMPASS_Dec2021_044",6.8,0.27
"COMPASS_Dec2021_045",6.8,0.3
"COMPASS_Dec2021_046",6.1,0.25
"COMPASS_Dec2021_047",6.1,0.21
"COMPASS_Dec2021_048",6,0.21
"COMPASS_Dec2021_049",6.8,0.21
"COMPASS_Dec2021_050",6.7,0.12
"COMPASS_Dec2021_051",6.7,0.12
"COMPASS_Dec2021_052",6.6,1.35
"COMPASS_Dec2021_053",7.3,0.57
"COMPASS_Dec2021_054",7,0.77
"COMPASS_Dec2021_055",6.9,0.54
"COMPASS_Dec2021_056",6.4,0.36
"COMPASS_Dec2021_057",6.4,0.28
"COMPASS_Dec2021_058",5.9,0.48
"COMPASS_Dec2021_059",6.8,0.56
"COMPASS_Dec2021_060",7.2,0.8
"COMPASS_Dec2021_061",6.2,0.1
"COMPASS_Dec2021_062",6.6,0.07
"COMPASS_Dec2021_063",6.3,0.07
"COMPASS_Dec2021_064",5,0.07
"COMPASS_Dec2021_065",5.7,0.11
"COMPASS_Dec2021_066",6.3,0.04
"COMPASS_Dec2021_067",6.4,0.08
"COMPASS_Dec2021_068",6.6,0.14
"COMPASS_Dec2021_069",6.7,0.07
"COMPASS_Dec2021_070",7.2,0.08
"COMPASS_Dec2021_071",6.8,0.11
"COMPASS_Dec2021_072",7.1,0.05
"COMPASS_Dec2021_073",6.6,0.09
"COMPASS_Dec2021_074",7.2,0.07
"COMPASS_Dec2021_075",7.2,0.1
"COMPASS_Dec2021_076",7.3,0.06
"COMPASS_Dec2021_077",6.8,0.06
"COMPASS_Dec2021_078",6.5,0.11
"COMPASS_Dec2021_079",6.6,0.09
"COMPASS_Dec2021_080",6.6,0.09
"COMPASS_Dec2021_081",6.8,0.09
"COMPASS_Dec2021_082",7,0.08
"COMPASS_Dec2021_083",7.5,0.08
"COMPASS_Dec2021_084",7.2,0.07
"COMPASS_Dec2021_085",6.3,0.14
"COMPASS_Dec2021_086",6.6,0.07
"COMPASS_Dec2021_087",6.9,0.15
"COMPASS_Dec2021_088",6.5,0.11
"COMPASS_Dec2021_089",6.1,0.17
"COMPASS_Dec2021_090",6,0.16
"COMPASS_Dec2021_091",6.3,0.28
"COMPASS_Dec2021_092",6.1,0.14
"COMPASS_Dec2021_093",6.6,0.19
"COMPASS_Dec2021_094",6.7,0.26
"COMPASS_Dec2021_095",6.6,0.21
"COMPASS_Dec2021_096",5.2,0.02
"COMPASS_Dec2021_097",5,0.02
"COMPASS_Dec2021_098",5,0.03
"COMPASS_Dec2021_099",5.1,0.01
"COMPASS_Dec2021_100",5.4,0
"COMPASS_Dec2021_101",5.5,0.01
"COMPASS_Dec2021_102",4.6,0.07
"COMPASS_Dec2021_107",5.7,0
"COMPASS_Dec2021_108",5.2,0
"COMPASS_Dec2021_109",5.6,0
"COMPASS_Dec2021_110",5.6,0
"COMPASS_Dec2021_111",5.8,0
"COMPASS_Dec2021_112",7.2,0.02
"COMPASS_Dec2021_113",5.1,0
"COMPASS_Dec2021_114",7.2,0.02
"COMPASS_Dec2021_115",7.1,0.03
"COMPASS_Dec2021_117",6.6,0.03
"COMPASS_Dec2021_118",7,0.03
"COMPASS_Dec2021_119",7.3,0.01
"COMPASS_Dec2021_120",7.5,0.03
