"sample_label","region","site","transect","tree_number","horizon"
"COMPASS_Dec2021_001","WLE","PR","upland","1","A"
"COMPASS_Dec2021_002","WLE","PR","upland","2","A"
"COMPASS_Dec2021_003","WLE","PR","upland","3","A"
"COMPASS_Dec2021_004","WLE","PR","upland","4","A"
"COMPASS_Dec2021_005","WLE","PR","upland","5","A"
"COMPASS_Dec2021_006","WLE","PR","upland","6","A"
"COMPASS_Dec2021_007","WLE","PR","upland","7","A"
"COMPASS_Dec2021_008","WLE","PR","upland","8","A"
"COMPASS_Dec2021_009","WLE","PR","upland","9","A"
"COMPASS_Dec2021_010","WLE","PR","transition","11","A"
"COMPASS_Dec2021_011","WLE","PR","transition","12","A"
"COMPASS_Dec2021_012","WLE","PR","transition","13","A"
"COMPASS_Dec2021_013","WLE","PR","transition","14","A"
"COMPASS_Dec2021_014","WLE","PR","transition","16","A"
"COMPASS_Dec2021_015","WLE","PR","transition","17","A"
"COMPASS_Dec2021_016","WLE","PR","transition","19","A"
"COMPASS_Dec2021_017","WLE","PR","transition","20","A"
"COMPASS_Dec2021_018","WLE","PR","transition","21","A"
"COMPASS_Dec2021_019","WLE","PR","wc","L1","A"
"COMPASS_Dec2021_020","WLE","PR","wc","L2","A"
"COMPASS_Dec2021_021","WLE","PR","wc","L3","A"
"COMPASS_Dec2021_022","WLE","PR","wc","L4","A"
"COMPASS_Dec2021_023","WLE","PR","wc","L5","A"
"COMPASS_Dec2021_024","WLE","PR","wc","L6","A"
"COMPASS_Dec2021_025","WLE","PR","wc","L7","A"
"COMPASS_Dec2021_026","WLE","PR","wc","L8","A"
"COMPASS_Dec2021_027","WLE","PR","wc","L9","A"
"COMPASS_Dec2021_028","WLE","PR","wc","C1","A"
"COMPASS_Dec2021_029","WLE","PR","wc","C2","A"
"COMPASS_Dec2021_030","WLE","PR","wc","C3","A"
"COMPASS_Dec2021_031","WLE","PR","wc","Ph1","A"
"COMPASS_Dec2021_032","WLE","PR","wc","Ph2","A"
"COMPASS_Dec2021_033","WLE","PR","wc","Ph3","A"
"COMPASS_Dec2021_034","WLE","CC","upland","201","A"
"COMPASS_Dec2021_035","WLE","CC","upland","202","A"
"COMPASS_Dec2021_036","WLE","CC","upland","203","A"
"COMPASS_Dec2021_037","WLE","CC","upland","204","A"
"COMPASS_Dec2021_038","WLE","CC","upland","205","A"
"COMPASS_Dec2021_039","WLE","CC","upland","206","A"
"COMPASS_Dec2021_040","WLE","CC","upland","207","A"
"COMPASS_Dec2021_041","WLE","CC","upland","208","A"
"COMPASS_Dec2021_042","WLE","CC","upland","209","A"
"COMPASS_Dec2021_043","WLE","CC","transition","211","A"
"COMPASS_Dec2021_044","WLE","CC","transition","212","A"
"COMPASS_Dec2021_045","WLE","CC","transition","213","A"
"COMPASS_Dec2021_046","WLE","CC","transition","214","A"
"COMPASS_Dec2021_047","WLE","CC","transition","215","A"
"COMPASS_Dec2021_048","WLE","CC","transition","216","A"
"COMPASS_Dec2021_049","WLE","CC","transition","217","A"
"COMPASS_Dec2021_050","WLE","CC","transition","218","A"
"COMPASS_Dec2021_051","WLE","CC","transition","219","A"
"COMPASS_Dec2021_052","WLE","CC","wc","W1","A"
"COMPASS_Dec2021_053","WLE","CC","wc","W2","A"
"COMPASS_Dec2021_054","WLE","CC","wc","W3","A"
"COMPASS_Dec2021_055","WLE","CC","wc","W4","A"
"COMPASS_Dec2021_056","WLE","CC","wc","W5","A"
"COMPASS_Dec2021_057","WLE","CC","wc","W6","A"
"COMPASS_Dec2021_058","WLE","CC","wc","W7","A"
"COMPASS_Dec2021_059","WLE","CC","wc","W8","A"
"COMPASS_Dec2021_060","WLE","CC","wc","W9","A"
"COMPASS_Dec2021_061","WLE","OWC","upland","101","A"
"COMPASS_Dec2021_062","WLE","OWC","upland","102","A"
"COMPASS_Dec2021_063","WLE","OWC","upland","103","A"
"COMPASS_Dec2021_064","WLE","OWC","upland","104","A"
"COMPASS_Dec2021_065","WLE","OWC","upland","105","A"
"COMPASS_Dec2021_066","WLE","OWC","upland","106","A"
"COMPASS_Dec2021_067","WLE","OWC","upland","107","A"
"COMPASS_Dec2021_068","WLE","OWC","upland","108","A"
"COMPASS_Dec2021_069","WLE","OWC","upland","109","A"
"COMPASS_Dec2021_070","WLE","OWC","transition","120","A"
"COMPASS_Dec2021_071","WLE","OWC","transition","121","A"
"COMPASS_Dec2021_072","WLE","OWC","transition","122","A"
"COMPASS_Dec2021_073","WLE","OWC","transition","123","A"
"COMPASS_Dec2021_074","WLE","OWC","transition","124","A"
"COMPASS_Dec2021_075","WLE","OWC","transition","125","A"
"COMPASS_Dec2021_076","WLE","OWC","transition","126","A"
"COMPASS_Dec2021_077","WLE","OWC","transition","127","A"
"COMPASS_Dec2021_078","WLE","OWC","transition","128","A"
